City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
278,Mangan,IN,27.5167,88.5333,71.51,53,97,5.32,overcast clouds
279,San Juan Bautista,PE,-14.0108,-75.7358,64.4,94,90,5.75,overcast clouds
280,Coquimbo,CL,-29.9533,-71.3436,64.4,68,0,14.97,clear sky
281,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.4,100,75,4.47,light rain
282,Arkhipo-Osipovka,RU,44.37,38.52,53.96,87,90,10.98,overcast clouds
283,Aberdeen,GB,57.1437,-2.0981,48.99,61,75,11.5,broken clouds
284,Dingle,PH,10.9995,122.6711,74.53,85,14,5.61,few clouds
285,Kaabong,UG,3.4836,34.1492,73.26,49,83,11.3,broken clouds
286,Manggar,ID,-2.8833,108.2667,79.97,80,97,0.49,overcast clouds
287,Dikson,RU,73.5069,80.5464,29.14,97,100,6.24,light snow
288,Leningradskiy,RU,69.3833,178.4167,9.52,88,88,6.6,overcast clouds
289,Krasnyy Yar,RU,46.5331,48.3456,64.4,34,0,6.71,clear sky
290,Alibag,IN,18.6411,72.8792,86.0,70,20,3.44,haze
291,Dolzhanskaya,RU,46.6311,37.8039,52.0,100,90,10.49,overcast clouds
292,Port Macquarie,AU,-31.4333,152.9167,55.99,98,56,3.0,broken clouds
293,Thompson,CA,55.7435,-97.8558,23.0,50,20,14.97,few clouds
294,Grindavik,IS,63.8424,-22.4338,46.4,61,0,17.27,clear sky
295,Hilton Head Island,US,32.2163,-80.7526,78.01,61,1,9.22,clear sky
296,Kamen-Rybolov,RU,44.7481,132.0403,41.68,55,31,9.01,scattered clouds
297,Bilma,NE,18.6853,12.9164,99.41,7,0,9.4,clear sky
298,Huarmey,PE,-10.0681,-78.1522,71.44,77,85,9.98,overcast clouds
299,Yenagoa,NG,4.9247,6.2642,84.47,66,100,4.29,overcast clouds
300,Ancud,CL,-41.8697,-73.8203,54.0,100,90,4.61,light rain
301,Manoel Urbano,BR,-8.8389,-69.2597,85.75,51,43,3.96,scattered clouds
302,Tilichiki,RU,60.4667,166.1,21.04,86,90,8.14,overcast clouds
303,Kota Tinggi,MY,1.7381,103.8999,78.8,94,20,1.14,few clouds
304,Poso,ID,-1.3959,120.7524,76.08,89,92,4.74,overcast clouds
305,Ornskoldsvik,SE,63.2909,18.7153,37.4,75,20,3.44,light rain
306,Shingu,JP,33.7333,135.9833,62.24,96,100,10.22,moderate rain
307,Novovorontsovka,UA,47.5004,33.9175,49.33,55,96,4.29,overcast clouds
308,Belle Glade,US,26.6845,-80.6676,82.0,55,1,1.99,clear sky
309,Mezhdurechensk,RU,53.6942,88.0603,45.19,90,84,11.54,broken clouds
310,Muzhi,RU,65.3667,64.6667,32.68,95,95,3.78,light snow
311,Mont-Dore,NC,-22.2833,166.5833,73.0,99,58,4.92,broken clouds
312,Hami,CN,42.8,93.45,66.74,15,30,4.81,scattered clouds
313,Yanam,IN,16.7333,82.2167,82.4,74,40,6.91,scattered clouds
314,Krasnokamensk,RU,50.0979,118.0369,28.53,78,75,8.1,broken clouds
315,Det Udom,TH,14.906,105.0784,80.6,78,82,6.91,broken clouds
316,Richards Bay,ZA,-28.783,32.0377,69.89,85,10,4.72,clear sky
317,Kattivakkam,IN,13.2167,80.3167,86.0,79,20,5.75,few clouds
318,Ithaca,US,42.4406,-76.4966,77.0,41,1,6.91,clear sky
319,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,73.0,52,0,1.99,clear sky
320,Neklyudovo,RU,56.4114,43.9814,48.2,46,75,8.95,broken clouds
321,Katsuura,JP,35.1333,140.3,66.2,68,75,17.27,broken clouds
322,Biak,ID,-0.9131,122.8766,76.55,81,97,2.98,overcast clouds
